7136106,"ID68043","Elmhorst","Haley"," ",,"715-449-2907",2005,"C","F",1987-05-28-00.00.00," "," "," ","EN","6812 1st St",,"Stevens Point","WI","54495    ",
7136478,"ID68736","Esparza","Brandi","M",,"715-449-3379",2005,"C","F",1987-06-21-00.00.00," "," "," ","EN","6881 Lincoln St","Box 76                          ","Stevens Point","WI","54495    ",
7136665,"ID69084","Farr","Daniel","T",,"715-445-2035",2006,"C","M",1987-04-24-00.00.00," "," "," ","EN","6916 8th St","PO Box 690","Junction City","WI","54459    ",
7136851,"ID69431","Figueroa","Jonathan","W",,"715-445-5135",2006,"C","M",1988-07-02-00.00.00," "," "," ","EN","6951 8th St","PO Box 694","Junction City","WI","54459    ",
7137037,"ID69778","Flatt","Ashley","I",,"715-445-3055",2005,"C","F",1987-03-02-00.00.00," "," "," ","EN","6986 8th St",,"Junction City","WI","54459    ",
7137410,"ID70473","Forbes","Zanna","K",,"715-445-5435",2006,"C","F",1988-05-16-00.00.00," "," "," ","EN","7055 Peach St","PO Box 704","Junction City","WI","54459    ",
7138342,"ID72209","Frenette","George"," ",,"715-449-2753",2006,"C","M",1988-06-02-00.00.00," "," "," ","EN","7229 1st St",,"Stevens Point","WI","54495    ",
7138528,"ID72556","Barba","Theodore"," ",,"715-448-3565",2006,"C","M",1987-08-21-00.00.00," "," "," ","EN","7263 Peach St","PO Box 725","Plover","WI","54481    ",
7139087,"ID73597","Galbraith","Jessica"," ",,"715-445-4153",2006,"C","F",1988-01-23-00.00.00," "," "," ","EN","7367 Apple St",,"Nekoosa","WI","54457    ",
7139273,"ID73944","Barba","Priscilla","H",,"715-445-5121",2005,"C","F",1987-02-18-00.00.00," "," "," ","EN","7402 Lincoln St",,"Junction City","WI","54459    ",
7139646,"ID74639","Garcia","Cassandra","S",,"715-445-5375",2005,"C","F",1987-02-22-00.00.00," "," "," ","EN","7472 Peach St","PO Box 746","Junction City","WI","54459    ",
7140391,"ID76027","Gettler","Shaylene","E",,"715-445-4117",2005,"C","F",1987-08-19-00.00.00," "," "," ","EN","7610 Washington Ave",,"Nekoosa","WI","54457    ",
7140764,"ID76722","Gilchrist","Jaclynn","L",,"715-445-7165",2005,"C","F",1986-12-10-00.00.00," "," "," ","EN","7680 Main St",,"Junction City","WI","54459    ",
7141323,"ID77764","Gonzales","David","R               ",,"715-448-2794",2005,"C","M",1987-07-14-00.00.00," "," "," ","EN","7784 Lincoln St",,"Plover","WI","54481    ",
7141696,"ID78459","Barragan","Michael","L",,"715-445-5105",2006,"C","M",1988-02-07-00.00.00," "," "," ","EN","7854 8th St",,"Junction City","WI","54459    ",
7141882,"ID78805","Gulde","Larry","B",,"715-445-4535",2005,"C","M",1987-07-23-00.00.00," "," "," ","EN","7888 Main St",,"Nekoosa","WI","54457    ",
7142255,"ID79500","Gulde","Linda"," ",,"715-445-2206",2005,"C","F",1987-01-14-00.00.00," "," "," ","EN","7958 Apple St",,"Junction City","WI","54459    ",
7142627,"ID80193","Hamby","Diana"," ",,"715-448-8227",2006,"C","F",1987-08-27-00.00.00," "," "," ","EN","8027 1st St",,"Plover","WI","54481    ",
7143559,"ID81930","Hamby","Monica","A",,"715-448-2833",2006,"C","F",1988-02-24-00.00.00," "," "," ","EN","8201 1st St","PO Box 819","Plover","WI","54481    ",
7143745,"ID82277","Hanson","Robert"," ",,"715-449-8638",2005,"C","M",1987-05-29-00.00.00," "," "," ","EN","8235 Main St",,"Stevens Point","WI","54495    ",
7144118,"ID82972","Hanson","Nicolette","M",,"715-445-3188",2006,"C","F",1988-05-10-00.00.00," "," "," ","EN","8305 Apple St",,"Junction City","WI","54459    ",
7144491,"ID83667","Hanson","Jonathan","W",,"715-445-3143",2006,"C","M",1988-02-27-00.00.00," "," "," ","EN","8374 Washington Ave",,"Junction City","WI","54459    ",
7144863,"ID84360","Hanson","Andrew","J",,"715-445-2245",2006,"C","M",1988-02-28-00.00.00," "," "," ","EN","8444 Main St",,"Junction City","WI","54459    ",
7145236,"ID85055","Baumann","Robin"," ",,"715-448-2913",2005,"C","F",1987-02-16-00.00.00," "," "," ","EN","8513 1st St",,"Plover","WI","54481    ",
7146168,"ID86791","Hatch","Bradley"," ",,"715-448-8242",2005,"C","M",1987-03-04-00.00.00," "," "," ","EN","8687 Peach St","PO Box 867","Plover","WI","54481    ",
7146354,"ID87138","Herrera","Brooks","L",,"715-448-2880",2006,"C","F",1987-11-01-00.00.00," "," "," ","EN","8722 1st St",,"Plover","WI","54481    ",
7146727,"ID87833","Hill","Douglas","J",,"715-445-5195",2005,"C","M",1987-03-21-00.00.00," "," "," ","EN","8791 1st St","PO Box 878","Junction City","WI","54459    ",
7147099,"ID88526","Clarke","James","D",,"715-445-5905",2005,"C","M",1986-07-21-00.00.00," "," "," ","EN","8860 8th St","PO Box 885","Junction City","WI","54459    ",
7147658,"ID89568","Beals","Nicole"," ",,"715-445-7575",2006,"C","F",1988-01-30-00.00.00," "," "," ","EN","8965 1st St",,"Junction City","WI","54459    ",
7147845,"ID89916","Idzinga","Michael"," ",,"715-445-2223",2005,"C","M",1986-11-05-00.00.00," "," "," ","EN","8999 Blueberry Lane",,"Nekoosa","WI","54457    ",
7148217,"ID90609","Colletti","Elena"," ",,"715-445-4567",2006,"C","F",1987-12-30-00.00.00," "," "," ","EN","9069 1st St",,"Nekoosa","WI","54457    ",
7148590,"ID91304","Jamison","Benjamin"," ",,"715-445-4241",2005,"C","M",1987-07-16-00.00.00," "," "," ","EN","9138 Washington Ave","PO Box 913","Nekoosa","WI","54457    ",
7148963,"ID91999","Jehu","Clint"," ",,"715-445-4534",2005,"C","M",1987-07-30-00.00.00," "," "," ","EN","9208 1st St","PO Box 920","Nekoosa","WI","54457    ",
7149335,"ID92692","Johnson","Marie","A",,"715-445-4278",2005,"C","F",1987-07-30-00.00.00," "," "," ","EN","9277 1st St",,"Nekoosa","WI","54457    ",
7149708,"ID93387","Congrove","Joel","D",,"715-445-2765",2006,"C","M",1988-06-02-00.00.00," "," "," ","EN","9346 Farmers Drive",,"Junction City","WI","54459    ",
7150080,"ID94081","Bedker","Aaron","C",,"715-445-1252",2005,"C","M",1987-05-09-00.00.00," "," "," ","EN","9416 Lincoln St",,"Junction City","WI","54459    ",
7150453,"ID94776","King","Brandon"," ",,"715-445-4310",2005,"C","M",1986-11-22-00.00.00," "," "," ","EN","9485 1st St",,"Nekoosa","WI","54457    ",
7150639,"ID95122","Kirk","Nicole","A",,"715-445-4310",2006,"C","F",1988-06-06-00.00.00," "," "," ","EN","9520 Washington Ave",,"Nekoosa","WI","54457    ",
7150826,"ID95471","Koberna","Richard","A",,"715-448-8229",2006,"C","M",1987-10-25-00.00.00," "," "," ","EN","9555 Blueberry Lane",,"Plover","WI","54481    ",
7151012,"ID95817","Kunz","Christina"," ",,"715-449-2984",2006,"C","F",1988-03-20-00.00.00," "," "," ","EN","9589 Apple St",,"Stevens Point","WI","54495    ",
7151385,"ID96512","Lawlor","Ashley","E",,"715-445-3131",2006,"C","F",1988-06-05-00.00.00," "," "," ","EN","9659 Main St","PO Box 965","Junction City","WI","54459    ",
7152130,"ID97900","Leon","Tyler","L",,"715-445-5255",2005,"C","M",1987-05-10-00.00.00," "," "," ","EN","9798 Lincoln St","PO Box 979","Junction City","WI","54459    ",
7152316,"ID98247","Lindholm","Cody","R",,"715-445-3795",2005,"C","M",1987-05-20-00.00.00," "," "," ","EN","9832 1st St",,"Junction City","WI","54459    ",
7152503,"ID98595","Locke","Cynthia","R",,"715-445-4216",2005,"C","F",1987-02-11-00.00.00," "," "," ","EN","9867 8th St",,"Nekoosa","WI","54457    ",
7152689,"ID98942","Lucas (farr)","Kristin","L",,"715-445-5665",2006,"C","F",1988-04-25-00.00.00," "," "," ","EN","9902 Washington Ave",,"Junction City","WI","54459    ",
7152875,"ID99288","Managan","Paulette","M",,"715-445-4525",2005,"C","F",1986-10-10-00.00.00," "," "," ","EN","9937 Apple St","PO Box 992","Nekoosa","WI","54457    ",
7153807,"ID1025","Marshall","Alexandria"," ",,"715-448-8234",2005,"C","F",1986-10-26-00.00.00," "," "," ","EN","110 Blueberry Lane","PO Box 10","Plover","WI","54481    ",
7154180,"ID1720","Mattingly","Jessica"," ",,"715-445-4553",2005,"C","F",1986-10-28-00.00.00," "," "," ","EN","180 Apple St","PO Box 17","Nekoosa","WI","54457    ",
7154366,"ID2067","MccCellan","Ricardo"," ",,"715-449-3427",2006,"C","M",1988-06-03-00.00.00," "," "," ","EN","214 Main St","PO Box 20","Stevens Point","WI","54495    ",
7154552,"ID2413","Merrill","Victor"," ",,"715-449-3427",2005,"C","M",1986-09-26-00.00.00," "," "," ","EN","249 1st St",,"Stevens Point","WI","54495    ",
7154739,"ID2762","Anglin","Jared","D",,"715-445-5225",2006,"C","M",1987-07-31-00.00.00," "," "," ","EN","284 Washington Ave",,"Junction City","WI","54459    ",
7155298,"ID3803","Meyers","James"," ",,"715-448-2947",2006,"C","M",1987-06-26-00.00.00," "," "," ","EN","388 1st St","PO Box 38","Plover","WI","54481    ",
7156043,"ID5191","Berry","Danielle"," ",,"715-448-3484",2006,"C","F",1987-10-30-00.00.00," "," "," ","EN","527 Apple St",,"Plover","WI","54481    ",
7156602,"ID6233","Murphey","Justin"," ",,"715-449-3030",2005,"C","M",1987-01-03-00.00.00," "," "," ","EN","631 1st St",,"Wisconsin Rapids","WI","54494    ",
7156788,"ID6580","Betancourt","Colin","M",,"715-445-3515",2005,"C","M",1986-07-17-00.00.00," "," "," ","EN","666 Washington Ave","PO Box 65","Junction City","WI","54459    ",
7157720,"ID8316","North","Keith"," ",,"715-445-6475",2006,"C","M",1988-01-17-00.00.00," "," "," ","EN","839 8th St","PO Box 83","Junction City","WI","54459    ",
7158279,"ID9358","Obrien","Matthew"," ",,"715-445-5085",2005,"C","M",1987-01-06-00.00.00," "," "," ","EN","944 1st St",,"Junction City","WI","54459    ",
7158652,"ID10053","Olson","Amanda","R",,"715-445-6285",2006,"C","F",1987-10-02-00.00.00," "," "," ","EN","1013 Blueberry Lane","PO Box 100","Junction City","WI","54459    ",
7158838,"ID10399","Oran","Robert","J               ",,"715-445-4189",2006,"C","M",1987-11-30-00.00.00," "," "," ","EN","1048 Washington Ave",,"Nekoosa","WI","54457    ",
7159024,"ID10746","Owen","Sarah"," ",,"715-448-3357",2005,"C","F",1987-04-19-00.00.00," "," "," ","EN","1082 1st St","PO Box 107","Plover","WI","54481    ",
7159397,"ID11441","Parrott","Michael"," ",,"715-449-2956",2005,"C","M",1986-08-16-00.00.00," "," "," ","EN","1152 1st St","PO Box 114","Stevens Point","WI","54495    ",
7159583,"ID11787","Perkins","Jessica","L               ",,"715-445-2046",2006,"C","F",1988-05-29-00.00.00," "," "," ","EN","1186 1st St",,"Junction City","WI","54459    ",
7159770,"ID12136","Peterson","Miranda","L               ",,"715-445-2046",2005,"C","F",1987-04-20-00.00.00," "," "," ","EN","1221 1st St",,"Junction City","WI","54459    ",
7160142,"ID12829","Plumb","Hector"," ",,"715-445-4234",2005,"C","M",1986-09-07-00.00.00," "," "," ","EN","1291 Farmers Drive","PO Box 128","Nekoosa","WI","54457    ",
7160701,"ID13871","Plunkett","Lucy","N",,"715-445-4522",2006,"C","F",1988-03-23-00.00.00," "," "," ","EN","1395 Blueberry Lane","PO Box 138","Nekoosa","WI","54457    ",
7161074,"ID14566","Black","Jonathan"," ",,"715-449-8815",2005,"C","M",1986-11-09-00.00.00," "," "," ","EN","1464 Apple St",,"Stevens Point","WI","54495    ",
7161260,"ID14912","Quintero","Nicole"," ",,"715-449-2943",2005,"C","F",1986-09-25-00.00.00," "," "," ","EN","1499 3rd St","PO Box 149","Stevens Point","WI","54495    ",
7162006,"ID16302","Blanchard","Denver"," ",,"715-445-7115",2006,"C","M",1988-05-16-00.00.00," "," "," ","EN","1638 1st St",,"Junction City","WI","54459    ",
7162192,"ID16649","Rivera","Amber","L",,"715-445-4182",2006,"C","F",1988-01-13-00.00.00," "," "," ","EN","1673 3rd St",,"Nekoosa","WI","54457    ",
7162565,"ID17344","Savedra Ii","Lindsay"," ",,"715-445-4213",2006,"C","F",1988-01-13-00.00.00," "," "," ","EN","1742 8th St",,"Nekoosa","WI","54457    ",
